ApiaryID,HiveID,InsptDate,Brood,Bees,Queen,Food,Stressors,Space
BBCC,HT101,2017-07-11,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-07-25,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-08-07,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-08-18,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-08-24,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-08-30,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-09-05,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-09-13,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-09-19,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-09-25,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-10-03,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-10-10,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-10-12,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-10-17,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-10-24,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-11-03,0.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT102,2016-08-01,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT102,2016-08-08,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT102,2016-08-15,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2016-08-22,1.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT102,2016-08-29,1.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT102,2016-09-08,1.0,1.0,0.0,0.0,1.0,1.0
BBCC,HT102,2016-09-16,1.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT102,2016-09-27,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2016-10-04,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2016-10-11,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT102,2016-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT102,2017-03-07,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2017-03-07,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2017-03-24,0.0,1.0,0.5,1.0,0.0,0.0
BBCC,HT102,2017-03-24,0.0,1.0,0.5,1.0,0.0,0.0
BBCC,HT102,2017-03-29,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-03-29,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-04-04,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT102,2017-04-04,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT102,2017-04-10,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-04-10,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-04-21,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-04-21,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-04-28,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2017-04-28,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT102,2017-05-02,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-05-02,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT102,2017-05-08,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT102,2017-05-08,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT102,2017-05-16,0.0,0.0,0.5,1.0,0.0,0.0
BBCC,HT102,2017-05-16,0.0,0.0,0.5,1.0,0.0,0.0
BBCC,HT102,2017-05-25,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT102,2017-05-25,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT103,2016-03-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-03-18,0.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT103,2016-03-24,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-04-25,0.0,1.0,0.0,1.0,0.0,0.0
BBCC,HT103,2016-04-27,0.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT103,2016-06-15,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-07-22,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-07-28,1.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT103,2016-08-01,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-08-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-08-15,1.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT103,2016-08-22,1.0,1.0,1.0,0.0,1.0,1.0
BBCC,HT103,2016-08-29,1.0,1.0,1.0,0.0,1.0,1.0
BBCC,HT103,2016-09-08,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT103,2016-09-16,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT103,2016-09-27,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2016-10-04,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT103,2016-10-11,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT103,2016-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-03-07,0.0,0.0,0.0,1.0,0.0,1.0
BBCC,HT103,2017-03-07,0.0,0.0,0.0,1.0,0.0,1.0
BBCC,HT103,2017-03-24,0.0,0.5,0.0,1.0,0.0,1.0
BBCC,HT103,2017-03-24,0.0,0.5,0.0,1.0,0.0,1.0
BBCC,HT103,2017-03-29,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-03-29,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-04-04,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT103,2017-04-04,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT103,2017-04-10,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT103,2017-04-10,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT103,2017-04-11,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-04-11,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-04-21,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-04-21,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-04-28,1.0,1.0,1.0,1.0,0.0,1.0
